location;date;week;total_vaccinations;total_boosters
United States;01/05/2022;;582105667;113137508
China;08/05/2022;2021-W19;3353022000;0
Germany;08/05/2022;;181079368;55400542
India;08/05/2022;;1901414279;28227958
United States;08/05/2022;;584521044;114892447
China;15/05/2022;2021-W20;3362389000;0
Germany;15/05/2022;;181443290;55735862
India;15/05/2022;;1912387924;29519329
United States;15/05/2022;;587055539;116729964
China;22/05/2022;;3371096000;771380000
Germany;22/05/2022;;181758348;56024060
India;22/05/2022;;1922077507;31229042
United States;22/05/2022;;589672496;118619559
China;29/05/2022;2021-W22;3379075000;0
Germany;29/05/2022;;181945617;56190920
India;29/05/2022;;1931892904;33322396
United States;29/05/2022;;592137372;120398455
China;05/06/2022;2021-W23;3384372000;0
Germany;05/06/2022;;182178792;56402120
India;05/06/2022;;1939962957;35191047
United States;05/06/2022;;593994792;121703926
China;12/06/2022;2021-W24;3389454000;0
Germany;12/06/2022;;182358916;56564268
India;12/06/2022;;1949991113;37393974
United States;12/06/2022;;595877362;123006868
China;19/06/2022;2021-W25;3395026000;0
Germany;19/06/2022;;182551611;56737837
India;19/06/2022;;1960498702;40039374
United States;19/06/2022;;597492627;124099079
China;26/06/2022;2021-W26;3399803000;0
Germany;26/06/2022;;182811050;56976505
India;26/06/2022;;1969852777;42638355
United States;26/06/2022;;599129200;125081465
China;03/07/2022;2021-W27;3403989000;0
Germany;03/07/2022;;183056551;57201095
India;03/07/2022;;1978551059;45339702
United States;03/07/2022;;600665121;125954360
China;10/07/2022;2021-W28;3408404000;0
Germany;10/07/2022;;183295571;57422469
India;10/07/2022;;1986908392;48406442
United States;10/07/2022;;602008303;126727456
China;17/07/2022;2021-W29;3412950000;0
Germany;17/07/2022;;183579465;57687937
India;17/07/2022;2021-W29;1986908392;0
United States;17/07/2022;;604046436;127990178
China;24/07/2022;2021-W30;3417900000;0
Germany;24/07/2022;;183837518;57929451
India;24/07/2022;;2020403475;70716642
United States;24/07/2022;;606199644;129294147
China;31/07/2022;2021-W31;3423669000;0
Germany;31/07/2022;;184074128;58151925
India;31/07/2022;;2042774905;88672328
United States;31/07/2022;;607987438;130324217
China;07/08/2022;2021-W32;3426023000;0
Germany;07/08/2022;;184260639;58326118
India;07/08/2022;;2062862077;105062510
United States;07/08/2022;;609450014;131111734
China;14/08/2022;2021-W33;3427965000;0
Germany;14/08/2022;;184433131;58487044
India;14/08/2022;;2080314240;119609806
United States;14/08/2022;;610733034;131774720
China;21/08/2022;2021-W34;3429988000;0
Germany;21/08/2022;;184596217;58632973
India;21/08/2022;;2097388903;134362902
United States;21/08/2022;;611877494;132352324
China;28/08/2022;2021-W35;3431965000;0
Germany;28/08/2022;;184762658;58788125
India;28/08/2022;;2117020150;150986300
United States;28/08/2022;;612863903;132830732
China;04/09/2022;2021-W36;3433450000;0
Germany;04/09/2022;;184916839;58931119
India;04/09/2022;;2132658458;164532883
United States;04/09/2022;2021-W36;613577190;0
